id,nome,localidade,frequencia
667,rocha,14,4458
668,rocha,43,73530
669,rocha,42,47890
670,rocha,28,21949
671,rocha,35,366137
672,rocha,17,20747
673,dias,0,2035387
674,dias,12,6023
675,dias,27,11950
676,dias,13,27730
677,dias,16,12922
678,dias,29,181708
679,dias,23,53242
680,dias,53,33700
681,dias,32,47936
682,dias,52,95470
683,dias,21,57540
684,dias,31,314705
685,dias,50,37829
686,dias,51,39352
687,dias,15,95711
688,dias,25,31004
689,dias,26,49769
690,dias,22,36649
691,dias,41,89639
692,dias,33,160364
693,dias,11,15765
694,dias,24,20305
695,dias,14,4267
696,dias,43,99614
697,dias,42,45155
698,dias,28,18778
699,dias,35,415427
700,dias,17,32833
701,goncalves,0,2028298
702,goncalves,12,3038
703,goncalves,27,11611
704,goncalves,13,25985
705,goncalves,16,6312
706,goncalves,29,113417
707,goncalves,23,68625
708,goncalves,53,28722
709,goncalves,32,43713
710,goncalves,52,95312
711,goncalves,21,37253
712,goncalves,31,402890
713,goncalves,50,37926
714,goncalves,51,35743
715,goncalves,15,77048
716,goncalves,25,33721
717,goncalves,26,52382
718,goncalves,22,20941
719,goncalves,41,121015
720,goncalves,33,174755
721,goncalves,11,16135
722,goncalves,24,9746
723,goncalves,14,2404
724,goncalves,43,102707
725,goncalves,42,61241
726,goncalves,28,9640
727,goncalves,35,422443
728,goncalves,17,13573
729,fernandes,0,1835974
730,fernandes,12,6447
731,fernandes,27,12335
732,fernandes,13,34173
733,fernandes,16,4338
734,fernandes,29,84731
735,fernandes,23,90374
736,fernandes,53,30243
737,fernandes,32,33725
738,fernandes,52,84844
739,fernandes,21,43256
740,fernandes,31,288004
741,fernandes,50,35171
742,fernandes,51,30217
743,fernandes,15,49282
744,fernandes,25,57238
745,fernandes,26,34105
746,fernandes,22,21249
747,fernandes,41,92077
748,fernandes,33,165953
749,fernandes,11,13763
750,fernandes,24,67965
751,fernandes,14,3685
752,fernandes,43,71331
753,fernandes,42,65046
754,fernandes,28,5563
755,fernandes,35,392105
756,fernandes,17,18754
757,santana,0,1815982
758,santana,12,3552
759,santana,27,20952
760,santana,13,16596
761,santana,16,5850
762,santana,29,498706
763,santana,23,29626
764,santana,53,23682
765,santana,32,34386
766,santana,52,58105
767,santana,21,39410
768,santana,31,110442
769,santana,50,19584
770,santana,51,33289
771,santana,15,47869
772,santana,25,26830
773,santana,26,141636
774,santana,22,21671
775,santana,41,48288
776,santana,33,109144
777,santana,11,11143
778,santana,24,16173
779,santana,14,3191
780,santana,43,18815
781,santana,42,21330
782,santana,28,95705
783,santana,35,347321
784,santana,17,12686
785,andrade,0,1707452
786,andrade,12,8154
787,andrade,27,15085
788,andrade,13,36781
789,andrade,16,4511
790,andrade,29,169444
791,andrade,23,72077
792,andrade,53,25056
793,andrade,32,29174
794,andrade,52,50909
795,andrade,21,42640
796,andrade,31,214366
797,andrade,50,18542
798,andrade,51,20931
799,andrade,15,54770
800,andrade,25,58171
801,andrade,26,104696
802,andrade,22,25469
803,andrade,41,80853
804,andrade,33,145161
805,andrade,11,13253
806,andrade,24,32187
807,andrade,14,5022
808,andrade,43,39009
809,andrade,42,39601
810,andrade,28,56418
811,andrade,35,334763
812,andrade,17,10409
813,batista,0,1703130
814,batista,12,7246
815,batista,27,21832
816,batista,13,54410
817,batista,16,6892
818,batista,29,157937
819,batista,23,70807
820,batista,53,25853
821,batista,32,36150
822,batista,52,80023
823,batista,21,37791
